---NEW ATTEMPT---
28.6083860832111 -80.5997669876188
iter int, downrange m, altitude m, north m, lat d, lng d, airq, srf_vel, orb_vel, pressure, temp, engs, ch4pc, loxpc, pitch, heading, roll, shipsep, boostersep, hsrsep
-2, 0, 186.091806086712, 0, 28.6083860832111, -80.5997669876188, 1.70536007491327E-08, 0.041439442972456, 407.871287875892, 0.978222632155194, 282.014404296875, 0, 0.999999894444429, 1, 89.8900504436706, 189.539133421972, 99.542540133231, false, false, true
-2, 0.000115717829277356, 186.091787309386, -0.00436674497845186, 28.6083860439791, -80.5997669864346, 8.10260835273842E-09, 0.0229036927543178, 407.871094415877, 0.978222632155194, 282.014404296875, 0, 0.999999892777763, 1, 89.8855094561078, 189.096119477253, 99.1002135307065, false, false, true
-2, 0.000177394104771318, 186.091782921925, -0.00603497921966875, 28.6083860289912, -80.5997669858034, 2.01545480157129E-09, 0.003339371302135, 407.870499296816, 0.978222632155194, 282.014404296875, 0, 0.999999890833319, 1, 89.8840474120886, 188.954637018856, 98.9585041033281, false, false, true
-2, 0.000143457225406474, 186.091783484444, -0.00494106073449056, 28.6083860388193, -80.5997669861507, 5.37558685146997E-12, 0.0163898474952685, 407.869906463619, 0.978222632155194, 282.014404296875, 0, 0.999999888888875, 1, 89.8857481647651, 189.108593573434, 99.1147857270957, false, false, true
-2, 4.81467932559484E-05, 186.091803745367, -0.00116156822599973, 28.6083860727753, -80.5997669871261, 2.40504578622353E-09, 0.0350568450811549, 407.869417463393, 0.978222632155194, 282.014404296875, 0, 0.999999886944431, 1, 89.8904789039223, 189.576934303085, 99.5802258691287, false, false, true
-2, -0.000110470173103579, 186.091813201085, 0.00507577496971439, 28.6083861288133, -80.5997669887494, 8.608556302852E-09, 0.0516429121121875, 407.868900929339, 0.978222632155194, 282.014404296875, 0, 0.999999884999987, 1, 89.8979369478766, 190.392309084671, 100.39755674572, false, false, true
-2, -0.000357873758516372, 186.091834716499, 0.0134168121227339, 28.6083862037515, -80.5997669912812, 1.72006635455308E-08, 0.0653178926360836, 407.868359343894, 0.978222632155194, 282.014404296875, 0, 0.999999883055543, 1, 89.9076993724565, 191.685041082491, 101.690016516169, false, false, true
-2, -0.000658017745084294, 186.091884838417, 0.0233916350427737, 28.6083862933681, -80.5997669943528, 2.62875212441898E-08, 0.0753447361157601, 407.868176595859, 0.978222632155194, 282.014404296875, 0, 0.999999881111099, 1, 89.919135421898, 193.625210294325, 103.627018997371, false, false, true
-2, -0.000948646796050244, 186.091904642992, 0.034440330176386, 28.6083863926326, -80.599766997327, 3.38872029915843E-08, 0.0811865418102721, 407.868340266134, 0.978222632155194, 282.014404296875, 0, 0.999999879166655, 1, 89.9315606646685, 196.444845518934, 106.447567894606, false, false, true
-2, -0.00125472997828604, 186.091920195147, 0.0459127105008308, 28.6083864957037, -80.5997670004593, 3.82112263582909E-08, 0.0819347794661025, 407.868065858294, 0.978222632155194, 282.014404296875, 0, 0.999999877222212, 1, 89.9440893665207, 200.667339632419, 110.668822516363, false, false, true
